| Component | Status (Win32) | Details |
| :--- | :--- | :--- |
| Accordion | Placeholder | Static control |
| Badge | Placeholder | Static control |
| Button | Functional | Native control |
| Card | Placeholder | Static control |
| Checkbox | Functional | Native control |
| Chip | Functional | Native control |
| Codeeditor | Functional | Native control |
| Colorpicker | Functional | Native control |
| Combobox | Functional | Native control |
| Contextmenu | Placeholder | Static control |
| Datepicker | Functional | Native control |
| Dialog | Placeholder | Static control |
| Divider | Functional | Native control |
| Filedialog | Placeholder | Static control |
| Groupbox | Functional | Native control |
| Hstack | Placeholder | Static control |
| Icon | Placeholder | Static control |
| Image | Placeholder | Static control |
| Label | Functional | Native control |
| Link | Functional | Native control |
| Listview | Functional | Native control |
| Menu | Placeholder | Static control |
| Menubar | Placeholder | Static control |
| Popover | Placeholder | Static control |
| Progressbar | Functional | Native control |
| Radiobutton | Functional | Native control |
| Rating | Placeholder | Static control |
| Richtext | Placeholder | Static control |
| Scrollview | Placeholder | Static control |
| Separator | Functional | Native control |
| Slider | Functional | Native control |
| Spinner | Functional | Native control |
| Spinner_loading | Functional | Native control |
| Splitter | Placeholder | Static control |
| Statusbar | Functional | Native control |
| Switch | Functional | Native control |
| Tabview | Functional | Native control |
| Textarea | Functional | Native control |
| Textfield | Functional | Native control |
| Timepicker | Functional | Native control |
| Toolbar | Functional | Native control |
| Tooltip | Functional | Native control |
| Treeview | Functional | Native control |
| Vstack | Placeholder | Static control |
| Webview | Placeholder | Static control |
| Window | Missing | No Win32 implementation found |
